Stazioni;Data;T-MIN;T-MAX
Campo di Carne;11/05/2019;10,1;22,2
Campo di Carne;12/05/2019;11,3;20,4
Campo di Carne;13/05/2019;7,9;23
Campo di Carne;14/05/2019;10,3;20,5
Campo di Carne;15/05/2019;8,2;12,5
Campo di Carne;16/05/2019;6,8;19,7
Campo di Carne;17/05/2019;8,1;21,2
Campo di Carne;18/05/2019;13,5;19,6
Campo di Carne;19/05/2019;10,8;18,7
Campo di Carne;20/05/2019;8,9;19,1
Campo di Carne;21/05/2019;11,5;21,4
Campo di Carne;22/05/2019;9,9;21,4
Campo di Carne;23/05/2019;8,8;21,9
Campo di Carne;24/05/2019;10,7;21,9
Campo di Carne;25/05/2019;9,8;23,4
Campo di Carne;26/05/2019;13,8;20,6
Campo di Carne;27/05/2019;14,6;19,2
Campo di Carne;28/05/2019;14;21,4
Campo di Carne;29/05/2019;11,8;20,9
Campo di Carne;30/05/2019;10,9;22,6
Campo di Carne;31/05/2019;10,1;22,4
Campodimele;01/05/2019;6,3;12,7
Campodimele;02/05/2019;7,6;16,9
Campodimele;03/05/2019;8,2;16,3
Campodimele;04/05/2019;9,2;12,1
Campodimele;05/05/2019;5;11,1
Campodimele;06/05/2019;3,8;12,4
Campodimele;07/05/2019;6;12,9
Campodimele;08/05/2019;7,1;15,4
Campodimele;09/05/2019;8,2;16,5
Campodimele;10/05/2019;10;18
Campodimele;11/05/2019;11,1;18,6
Campodimele;12/05/2019;8,9;16,2
Campodimele;13/05/2019;7,3;15,6
Campodimele;14/05/2019;7,9;14,3
Campodimele;15/05/2019;5,4;8,7
Campodimele;16/05/2019;6;15,7
Campodimele;17/05/2019;9,2;17,2
Campodimele;18/05/2019;10,1;13,6
Campodimele;19/05/2019;8,9;13,4
Campodimele;20/05/2019;7,7;14,7
Campodimele;21/05/2019;9,5;15,3
Campodimele;22/05/2019;9,8;17,8
Campodimele;23/05/2019;10,9;17,7
Campodimele;24/05/2019;10,5;18,2
Campodimele;25/05/2019;11;17,6
Campodimele;26/05/2019;11;14
Campodimele;27/05/2019;11,5;14,2
Campodimele;28/05/2019;11,1;17,1
Campodimele;29/05/2019;9,8;16
Campodimele;30/05/2019;10,2;17,8
Campodimele;31/05/2019;10,8;15,3
Campoli Appennino;01/05/2019;7,1;14,2
Campoli Appennino;02/05/2019;6,7;17,8
Campoli Appennino;03/05/2019;8,3;17,3
Campoli Appennino;04/05/2019;9,3;14,6
Campoli Appennino;05/05/2019;4,1;10,9
Campoli Appennino;06/05/2019;3,6;12,8
Campoli Appennino;07/05/2019;5,1;15,3
Campoli Appennino;08/05/2019;6,6;17,3
Campoli Appennino;09/05/2019;8,3;15,5
Campoli Appennino;10/05/2019;9,3;19,7
Campoli Appennino;11/05/2019;10,4;19,8
Campoli Appennino;12/05/2019;8,8;16,3
Campoli Appennino;13/05/2019;7,6;13,4
Campoli Appennino;14/05/2019;7,2;14,4
Campoli Appennino;15/05/2019;5,5;9,7
Campoli Appennino;16/05/2019;6,3;16,3
Campoli Appennino;17/05/2019;8,6;18,8
Campoli Appennino;18/05/2019;11,2;15,3
Campoli Appennino;19/05/2019;9,3;14,3
Campoli Appennino;20/05/2019;7,9;15,6
Campoli Appennino;21/05/2019;8,6;16,2
Campoli Appennino;22/05/2019;9,6;19,4
Campoli Appennino;23/05/2019;10,5;20,4
Campoli Appennino;24/05/2019;10,1;19,9
Campoli Appennino;25/05/2019;11,2;20,4
